created_at,id,text
975843678408400902,Mon Mar 19 21:17:17 +0000 2018,@okdiario Que fuma? Porque lo del extasis a lo Santa  Teresa parece q no le va.
975843867617570816,Mon Mar 19 21:18:02 +0000 2018,Noches en la ciudad fumando marihuana.
975844239627005952,Mon Mar 19 21:19:31 +0000 2018,Quién vende marihuana ? Hahahahw
975844393713393665,Mon Mar 19 21:20:08 +0000 2018,"Tu carita es como marihuana que me traba, me tiene en un vuelo que nunca se acaba.  #PoetSong"
975844415859318785,Mon Mar 19 21:20:13 +0000 2018,@JoseFdoSanin Simplemente excelente y ojala se extienda a los que trafican cocaina y marihuana.
975844553067548674,Mon Mar 19 21:20:46 +0000 2018,Cambie el amor por la marihuana
975844751487520769,Mon Mar 19 21:21:33 +0000 2018,En fb me saltan los recuerdos cuando Fer me compartía canciones cristianas y mirala ahora te vende milanesas rellenas con marihuana
975845673093414912,Mon Mar 19 21:25:13 +0000 2018,"No estoy llorando, tengo los ojos rojos porque fumé marihuana."
975845757931663360,Mon Mar 19 21:25:33 +0000 2018,Cambio el amor por la marihuana
975845821668237312,Mon Mar 19 21:25:48 +0000 2018,"Me gusta la lluvia, me gustas tú  Me gusta volver, me gustas tú  Me gusta marihuana, me gustas tú"
975845890685591552,Mon Mar 19 21:26:05 +0000 2018,Que alguien le diga a mi vecino que deje de fumar marihuana o que se lo pase. #HombreYa
975846166209400832,Mon Mar 19 21:27:11 +0000 2018,"@Sebasti96331230 @CDF_cl Seguí fumando marihuana, a ver si se te pasa el ardor anal y el lloriqueo jajaja seguí SHORANDO 😭😭😭😭😭🇺🇾 🇺🇾🇺🇾"
975846658641555456,Mon Mar 19 21:29:08 +0000 2018,Esas personas que fuman marihuana¿¿¿¿?????
975847409380151296,Mon Mar 19 21:32:07 +0000 2018,"ups, cambié el amor por la marihuana"
975847520696983557,Mon Mar 19 21:32:33 +0000 2018,@klamuwu Solo digo marihuana
975848215085019136,Mon Mar 19 21:35:19 +0000 2018,@mswitch27 @IdolosForros @NoeliaCustodiou Deja de fumar tanta marihuana que despues crees q lo que escribis es gracioso y te reis sola
975848225688162305,Mon Mar 19 21:35:22 +0000 2018,Cambié el amor por la marihuana
975848846080266241,Mon Mar 19 21:37:49 +0000 2018,"@AitorIgartua El asesino de campesinos cubanos,dándose su pase de marihuana,tronco de mensaje"
975849318551875586,Mon Mar 19 21:39:42 +0000 2018,@Noeliafairyoak @ManuelRipalda Ojalá me diese marihuana y tuviese yo ese culo.
