id,created_at,text
1062095039860539393,Mon Nov 12 21:29:24 +0000 2018,Tus locuras son mi medicamento!!!
1062094275561775104,Mon Nov 12 21:26:22 +0000 2018,"- ¿Puede darme el medicamento para mi mamá? - ¿Tiene turno? - No - Esperé entonces, lo atiendo en un momento -  *Se va molesto"
1062090700194496513,Mon Nov 12 21:12:10 +0000 2018,#NowPlaying en #PromezaRadio: EL MEDICAMENTO - Alfareros
1062090607643017220,Mon Nov 12 21:11:48 +0000 2018,@MaxYancovich Medicamento?
1062090155291525120,Mon Nov 12 21:10:00 +0000 2018,@SaludYa0800 LE ENTREGAN MEDICAMENTO A TODO EL MUNDO Y YO TENGO ESPERANDO 1 AÑO PARA QUE ME ENTREGUEN EL DE MI MAMA PARA EL PARKINSON
1062085015771758592,Mon Nov 12 20:49:35 +0000 2018,Amigo pq tengo tanto miedo a tomar pastillas de medicamento
1062084308679110656,Mon Nov 12 20:46:46 +0000 2018,@tatianmendozza7 @_mightyballad @SalakyLeeloo Es unnn... medicamento chino para la lumbalgia :3
1062084284947841024,Mon Nov 12 20:46:40 +0000 2018,"He probado la fanta de fresa, os aconsejo que ni os penséis beberse una, eso sabe a medicamento"
1062081711947825157,Mon Nov 12 20:36:27 +0000 2018,"Para vencer una enfermedad el primer medicamento es la actitud positiva, y el enfermo es el encargado de administrarla. ✒@lekaphi  #Rotcet12"
1062080609407942658,Mon Nov 12 20:32:04 +0000 2018,@A3Noticias No hay alerta en la agencia del medicamento... falsos
1062080062684610561,Mon Nov 12 20:29:54 +0000 2018,#Venezuela Para buscar productos por esta red social envía Mensaje Directo así: BUSCAR y el nombre del medicamento.
1062073557822464000,Mon Nov 12 20:04:03 +0000 2018,"@Facundosibert Si negro,tomo té,como miel y tomo un medicamento todo con 40 grados del ogt"
1062073174026788864,Mon Nov 12 20:02:31 +0000 2018,a donde vamos aun queda gente que prefieren vender un medicamento antes que donarlo HDP
1062071514156163073,Mon Nov 12 19:55:55 +0000 2018,"@lMdrgdr Aparte es buenita, no me pone cara para cuando toma el medicamento"
1062070427684610048,Mon Nov 12 19:51:36 +0000 2018,@lilyambar_1967 Lamentablemente este medicamento se encuentra sin stock a nivel cadena. ¡Saludos!
1062069574076690432,Mon Nov 12 19:48:13 +0000 2018,Toma algún medicamento para la presión? Si una pastllita... DIOS! ESTA GENTE VOTA!
1062069220039671813,Mon Nov 12 19:46:49 +0000 2018,Nunca mezclen medicamento con alcohol
1062065235274559488,Mon Nov 12 19:30:58 +0000 2018,"@lMdrgdr Sí sí, anda molesta de la garganta pero ya con el medicamento se mejorará"
1062059898337456132,Mon Nov 12 19:09:46 +0000 2018,@sebuscasedona requiero apoyo para colocar Avastin a mi papa si son tan amables de ayudarme a buscar el medicamento por favor
1062058112020934656,Mon Nov 12 19:02:40 +0000 2018,parezco la tia esa enferma de una familia de diez con tanto medicamento
1062056631851204613,Mon Nov 12 18:56:47 +0000 2018,@FundacionBADAN Buenas tardes... quería saber si cuentan con el siguiente medicamento por favor... betaduobedrosper.  Gracias
1062055825135542272,Mon Nov 12 18:53:35 +0000 2018,"Resulta que el único medicamento que me logra calmar los dolores de cabeza, me da alergia, gracias vida, eres bien culera :("
1062055326831296512,Mon Nov 12 18:51:36 +0000 2018,Pinché medicamento me tiene toda aturdida. 😣
1062054301093294080,Mon Nov 12 18:47:32 +0000 2018,@subversa_ Pucha Entonces infusión de jengibre (por si no quieres llegar a tomar medicamento)
1062047452960821251,Mon Nov 12 18:20:19 +0000 2018,"@emug12 Buenas tardes, nosotros en este momento no tenemos el medicamento que busca. Disculpe."
1062047114828673029,Mon Nov 12 18:18:58 +0000 2018,@alexagomez2000 @anncaba Acabo de llamar al IVSS d alto costo en san bernardino y no ha llegado aun el EMBREL y ningun tipo de medicamento.
1062047032851030016,Mon Nov 12 18:18:39 +0000 2018,@lilyambar_1967 Hola! por favor indícanos en qué sector buscas este medicamento para ayudarte con la búsqueda.
1062046888239792128,Mon Nov 12 18:18:04 +0000 2018,"@MLajusticia Buenas tardes, estimada Milena. El medicamento que busca se encuentra agotado, disculpe."
1062046704860626944,Mon Nov 12 18:17:20 +0000 2018,"@irrespirable Buenas tardes, estimada Sandra. El medicamento que busca no nos ha llegado. Disculpe."
1062046428460171264,Mon Nov 12 18:16:15 +0000 2018,"@CNNEE El mejor medicamento es el amor, y a esta enfermera le sobra..."
1062045723238260738,Mon Nov 12 18:13:26 +0000 2018,¿Por qué hablan de drogas? –guarda el frasco de su medicamento más al fondo del bolsillo.–
1062043751231700992,Mon Nov 12 18:05:36 +0000 2018,"@pepedrake Buen día Pepe, solo deberás presentar tu receta médica para poder llevar el medicamento. Saludos. OZ"
1062043553138987008,Mon Nov 12 18:04:49 +0000 2018,"""Tampoco hay ningún medicamento que, hoy por hoy, funcione contra la fibrosis pulmonar"". María Blasco #ForodelaCultura18"
1062043120081231872,Mon Nov 12 18:03:06 +0000 2018,"@neltov Estimado Nelson, buenas tardes. El medicamento que busca se encuentra agotado y no tenemos ninguno con el mismo principio activo."
1062041749428805632,Mon Nov 12 17:57:39 +0000 2018,"@Genesis34582602 Buenas tardes, estimada Genesis. Medicamento agotado, disculpe."
1062040745698344960,Mon Nov 12 17:53:40 +0000 2018,"@Farmarato buenas tardes, me podrían informar si tienen el medicamento Sesaren de 150mg de"
1062038548449320961,Mon Nov 12 17:44:56 +0000 2018,@GyseYb @PanoramaPTV Además te dan puro medicamento de la India de mala calidad. Negocio redondo.
1062036201862037505,Mon Nov 12 17:35:36 +0000 2018,@TehSinapsis Ufff que medicamento te han puesto?
1062035835078524928,Mon Nov 12 17:34:09 +0000 2018,Hay algún medicamento de venta libre que me duerma las 2 horas del partido? Ayer me preocupe posta cais me muero
1062035157731946496,Mon Nov 12 17:31:27 +0000 2018,"@farma_ahumada busco el medicamento Imidep. Se supone que llegaria este año, y no ha sido asi."
1062031840113016832,Mon Nov 12 17:18:16 +0000 2018,"El medicamento para el dolor no me deja usar la lectura para distraerme del dolor. O sea, nada más me apendeja."
1062031184333561858,Mon Nov 12 17:15:40 +0000 2018,"@AmorRomeiraGh En Venezuela a ese medicamento le llaman 'Ubicatex', y se toma en pastillas."
1062030759777701888,Mon Nov 12 17:13:59 +0000 2018,"@trafficGUAYANA @veneyana1 Dios yo tomo ese medicamento, el@mes pasado lo conseguí en hospifarma ."
1062030406931898368,Mon Nov 12 17:12:35 +0000 2018,@MinSaludCol @MedimasEPS denunció hace 6 meses a mi cuñado le ponen trabas para no entregar medicamento e iniciar tratamiento para cáncer
1062029461326102530,Mon Nov 12 17:08:49 +0000 2018,@MinSaludCol un derecho a la salud está en recibir medicamento para tratamiento de cáncer @MedimasEPS pone trabas y deja vencer fórmulas
1062026687528034304,Mon Nov 12 16:57:48 +0000 2018,Como un bioequivalente cuesta más caro q el medicamento original???? #bioequivalentes #farmaciasdenuevo
1062023321708101632,Mon Nov 12 16:44:25 +0000 2018,Fatal atencion tan nefasta de la clinica deI SSSTEP_Puebla mi paciente necesita el medicamento y lo estan negando @ComSnte51 @JaimeG_Roque
1062020916325113856,Mon Nov 12 16:34:52 +0000 2018,SE NECESITA CON URGENCIA EL SIGUIENTE MEDICAMENTO ZIAC 2.5/6.25 O XYLON 2.5/6.25
1062017938285305856,Mon Nov 12 16:23:02 +0000 2018,@PhrmMar presenta un nuevo anticuerpo conjugado (ADC) en el congreso mundial de San Diego #salud #medicamento
1062017850439860224,Mon Nov 12 16:22:41 +0000 2018,Olvidé mi medicamento de la alergia. Siento como cuando olvidas ponerte desodorante multiplicado x258.
1062016231761428481,Mon Nov 12 16:16:15 +0000 2018,@medica_mentos Buenas tardes que precio tiene el medicamento letrozol 2.5 gracias
1062015332515266562,Mon Nov 12 16:12:41 +0000 2018,"@juliaramponi2 Yo preguntándote todo el tiempo que significa tal dolor, que medicamento tengo que tomar, etc etc"
1062012400633896960,Mon Nov 12 16:01:02 +0000 2018,Siempre tengo sueños raros pero siento que por tanto medicamento ahora son más raros.
1062008345895358466,Mon Nov 12 15:44:55 +0000 2018,Tengo dormida la lengua de medicamento y aún me lloran mis ojos.
1062007900225314818,Mon Nov 12 15:43:09 +0000 2018,"""La ciencia moderna aún no ha producido un medicamento tranquilizador tan eficaz como lo son unas pocas palabras bondadosas""."
1062005146580860929,Mon Nov 12 15:32:12 +0000 2018,Llevo 4 días con el nuevo medicamento pa'l insomnio y me siento igual de zombie que antes
1062001188835602432,Mon Nov 12 15:16:29 +0000 2018,"@sebariosl @Censelio Si quieres me llamas y te cuento.  En todo caso, medicamento todos los días.  La acupuntura no me resultó a mí."
1062000677528846337,Mon Nov 12 15:14:27 +0000 2018,"Nunca me habia sentido tan mal a causa de un medicamento, que feo es estar enferma 😔"
1061995328533073921,Mon Nov 12 14:53:11 +0000 2018,Me es imposible tomarme un medicamento sin antes consultar mi compendio
1061993530422374400,Mon Nov 12 14:46:03 +0000 2018,@Emilioguiritano @capadociados El medicamento*
1061993473539272704,Mon Nov 12 14:45:49 +0000 2018,@Emilioguiritano @capadociados Me temo que los laboratorios prefieren vender en países donde en medicamento tiene un precio mayor.
